№,City/ Town,Status,Population,County,Ref,date
1.,Nairobi,Capital,"4,397,073",Nairobi,[2],2023-11-26
2.,Mombasa,City,"1,208,333",Mombasa,[3],2023-11-26
3.,Nakuru,City,"570,674",Nakuru,[3],2023-11-26
4.,Ruiru,Municipality (Ruiru + Githurai),"490,120",Kiambu,[3],2023-11-26
5.,Eldoret,Municipality,"475,716",Uasin Gishu,[3],2023-11-26
6.,Kisumu,City,"397,957",Kisumu,[3],2023-11-26
7.,Kikuyu,Municipality,"323,881",Kiambu,[3],2023-11-26
8.,Ngong,Municipality (Ngong + O/Rongai),"279,757",Kajiado,[3],2023-11-26
9.,Mavoko,Municipality (Mlolongo + Athi River + Syokimau + Katani + Githunguri),"258,498",Machakos,[4],2023-11-26
10.,Thika,Municipality,"251,407",Kiambu/Murang'a,[3],2023-11-26
11.,Naivasha,Municipality,"198,444",Nakuru,[3],2023-11-26
12.,Karuri,Municipality (Ruaka + Ndenderu),"194,342",Kiambu,[3],2023-11-26
13.,Juja,Municipality,"156,041",Kiambu,[4],2023-11-26
14.,Kitengela,Municipality (Kitengela + Kisaju),"154,643",Kajiado,[4],2023-11-26
15.,Kiambu,Municipality,"155,896",Kiambu,[4],2023-11-26
16.,Malindi,Municipality,"119,859",Kilifi,[4],2023-11-26
17.,Mandera,Municipality,"114,718",Mandera,[4],2023-11-26
18.,Kisii,Municipality,"112,417",Kisii/Nyamira,[4],2023-11-26
19.,Kakamega,Municipality,"107,227",Kakamega,[4],2023-11-26
20.,Mtwapa,Municipality,"90,677",Kilifi,[4],2023-11-26
21.,Wajir,Municipality,"90,116",Wajir,[4],2023-11-26
22.,Lodwar,Municipality,"82,970",Turkana,[4],2023-11-26
23.,Limuru,Municipality,"81,316",Kiambu,[4],2023-11-26
24.,Meru,Municipality,"80,191",Meru,[4],2023-11-26
25.,Nyeri,Municipality,"80,081",Nyeri,[4],2023-11-26
26.,Isiolo,Municipality,"78,650",Isiolo,[4],2023-11-26
27.,Ukunda,Municipality (Diani Municipality),"77,686",Kwale,[4],2023-11-26
28.,Kiserian,Town Council,"76,903",Kajiado,[4],2023-11-26
29.,Kilifi,Municipality,"74,270",Kilifi,[4],2023-11-26
30.,Nanyuki,Municipality,"72,813",Laikipia/Nyeri,[4],2023-11-26
31.,Busia,Municipality,"71,886",Busia,[4],2023-11-26
32.,Migori,Municipality,"71,668",Migori,[4],2023-11-26
33.,Bungoma,Municipality,"68,031",Bungoma,[4],2023-11-26
34.,Narok,Municipality,"65,430",Narok,[4],2023-11-26
35.,Embu,Municipality,"64,979",Embu,[4],2023-11-26
36.,Machakos,Municipality,"63,767",Machakos,[4],2023-11-26
